"STRUCTURE","STRUCTURE_ID","STRUCTURE_NAME","ACTION","REF_AREA","Reference.area","MEASURE","Measure","UNIT_MEASURE","Unit.of.measure","TRANSFORMATION","Transformation","ADJUSTMENT","Adjustment","SEX","Sex","AGE","Age","ACTIVITY","Economic.activity","FREQ","Frequency.of.observation","TIME_PERIOD","Time.period","OBS_VALUE","Observation.value","BASE_PER","Base.period","OBS_STATUS","Observation.status","UNIT_MULT","Unit.multiplier","DECIMALS","Decimals"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2015",NA,60.325,NA,NA,NA,"A","Normal value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2016",NA,62.625,NA,NA,NA,"A","Normal value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2017",NA,64.45,NA,NA,NA,"A","Normal value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2018",NA,65.9,NA,NA,NA,"A","Normal value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2019",NA,67.375,NA,NA,NA,"B","Time series break",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2020",NA,67.8,NA,NA,NA,"U","Low reliability",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2021",NA,67.675,NA,NA,NA,"A","Normal value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2022",NA,69.4,NA,NA,NA,"A","Normal value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","N","Neither seasonally adjusted nor calendar adjusted","F","Female","Y55T64","From 55 to 64 years","_Z","Not applicable","A","Annual","2023",NA,71.05,NA,NA,NA,"A","Normal value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2005-Q1",NA,53.05928,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2005-Q2",NA,53.06992,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2005-Q3",NA,53.62197,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2005-Q4",NA,54.47464,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2006-Q1",NA,54.79654,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2006-Q2",NA,55.81375,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2006-Q3",NA,56.36076,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2006-Q4",NA,57.41878,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2007-Q1",NA,58.32803,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2007-Q2",NA,59.28522,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2007-Q3",NA,59.62998,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2007-Q4",NA,60.44981,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2008-Q1",NA,60.78039,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2008-Q2",NA,61.55663,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2008-Q3",NA,62.14438,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2008-Q4",NA,62.4225,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2009-Q1",NA,61.65491,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2009-Q2",NA,63.16277,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2009-Q3",NA,62.59544,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2009-Q4",NA,63.98611,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2010-Q1",NA,63.93446,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2010-Q2",NA,64.1833,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2010-Q3",NA,64.09416,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2010-Q4",NA,64.87665,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2011-Q1",NA,64.98154,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2011-Q2",NA,66.44635,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2011-Q3",NA,66.1557,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2011-Q4",NA,67.04264,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2012-Q1",NA,66.92448,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2012-Q2",NA,67.37074,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2012-Q3",NA,67.82563,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2012-Q4",NA,68.30116,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2013-Q1",NA,67.79752,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2013-Q2",NA,68.73928,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2013-Q3",NA,69.20078,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2013-Q4",NA,69.91376,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2014-Q1",NA,70.17117,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2014-Q2",NA,70.22775,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2014-Q3",NA,70.51871,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2014-Q4",NA,70.41156,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2015-Q1",NA,69.68991,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
"DATAFLOW","OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0)","Employment rate","I","DEU","Germany","EMP_WAP","Employment rate","PT_WAP_SUB","Percentage of working age population in the same subgroup","_Z","Not applicable","Y","Calendar and seasonally adjusted","M","Male","Y55T64","From 55 to 64 years","_Z","Not applicable","Q","Quarterly","2015-Q2",NA,69.94485,NA,NA,NA,"E","Estimated value",0,"Units",1,"One"
